Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,VIX,VIX_SMA_10,VIX_SMA_30,VIX_Change,VIX_Low,VIX_High,VIX_Spike
2025-05-05,24.25,24.6299991607666,22.809999465942383,23.639999389648438,0,0.0,0.0,23.639999389648438,,,,False,False,False
2025-05-06,23.969999313354492,25.110000610351562,23.899999618530273,24.760000228881836,0,0.0,0.0,24.760000228881836,,,0.04737736328892761,False,False,False
2025-05-07,24.559999465942383,25.6200008392334,23.290000915527344,23.549999237060547,0,0.0,0.0,23.549999237060547,,,-0.048869183385945925,False,False,False
2025-05-08,22.84000015258789,23.610000610351562,21.8799991607666,22.479999542236328,0,0.0,0.0,22.479999542236328,,,-0.04543523267467309,False,False,False
2025-05-09,22.399999618530273,22.81999969482422,21.829999923706055,21.899999618530273,0,0.0,0.0,21.899999618530273,,,-0.025800708875297285,False,False,False
2025-05-12,19.84000015258789,20.440000534057617,18.139999389648438,18.389999389648438,0,0.0,0.0,18.389999389648438,,,-0.16027398584573105,False,False,False
2025-05-13,18.690000534057617,18.850000381469727,17.649999618530273,18.219999313354492,0,0.0,0.0,18.219999313354492,,,-0.009244158887228515,False,False,False
2025-05-14,18.100000381469727,18.81999969482422,18.059999465942383,18.6200008392334,0,0.0,0.0,18.6200008392334,,,0.021953981391520827,False,False,False
2025-05-15,19.190000534057617,19.3799991607666,17.770000457763672,17.829999923706055,0,0.0,0.0,17.829999923706055,,,-0.0424275445714678,False,False,False
2025-05-16,17.959999084472656,17.959999084472656,17.149999618530273,17.239999771118164,0,0.0,0.0,17.239999771118164,20.6629997253418,,-0.03309030595134499,False,False,False
2025-05-19,19.84000015258789,19.920000076293945,17.920000076293945,18.139999389648438,0,0.0,0.0,18.139999389648438,20.112999725341798,,0.05220415490016572,False,False,False
2025-05-20,18.459999084472656,18.68000030517578,17.700000762939453,18.09000015258789,0,0.0,0.0,18.09000015258789,19.445999717712404,,-0.0027562976153725494,False,False,False
2025-05-21,18.770000457763672,21.049999237060547,17.770000457763672,20.8700008392334,0,0.0,0.0,20.8700008392334,19.177999877929686,,0.1536761007847649,False,False,True
2025-05-22,20.6200008392334,22.06999969482422,19.639999389648438,20.280000686645508,0,0.0,0.0,20.280000686645508,18.957999992370606,,-0.02827025054444432,False,False,False
2025-05-23,20.139999389648438,25.530000686645508,19.829999923706055,22.290000915527344,0,0.0,0.0,22.290000915527344,18.99700012207031,,0.09911243396581493,False,False,False
2025-05-27,20.6299991607666,21.010000228881836,18.950000762939453,18.959999084472656,0,0.0,0.0,18.959999084472656,19.054000091552734,,-0.14939442325168273,False,False,False
2025-05-28,19.209999084472656,19.43000030517578,18.68000030517578,19.309999465942383,0,0.0,0.0,19.309999465942383,19.163000106811523,,0.018459936622906348,False,False,False
2025-05-29,18.25,20.200000762939453,18.110000610351562,19.18000030517578,0,0.0,0.0,19.18000030517578,19.21900005340576,,-0.0067322198012426115,False,False,False
2025-05-30,19.610000610351562,20.549999237060547,18.56999969482422,18.56999969482422,0,0.0,0.0,18.56999969482422,19.29300003051758,,-0.03180399377715093,False,False,False
2025-06-02,19.809999465942383,20.450000762939453,18.360000610351562,18.360000610351562,0,0.0,0.0,18.360000610351562,19.405000114440917,,-0.01130851308151537,False,False,False
2025-06-03,18.829999923706055,19.209999084472656,17.639999389648438,17.690000534057617,0,0.0,0.0,17.690000534057617,19.360000228881837,,-0.03649237766997637,False,False,False
2025-06-04,17.68000030517578,18.06999969482422,17.40999984741211,17.610000610351562,0,0.0,0.0,17.610000610351562,19.312000274658203,,-0.004522324550077617,False,False,False
2025-06-05,17.68000030517578,18.799999237060547,17.079999923706055,18.479999542236328,0,0.0,0.0,18.479999542236328,19.073000144958495,,0.04940368550432428,False,False,False
2025-06-06,18.15999984741211,18.350000381469727,16.649999618530273,16.770000457763672,0,0.0,0.0,16.770000457763672,18.722000122070312,,-0.0925324202830431,False,False,False
2025-06-09,17.690000534057617,17.719999313354492,16.81999969482422,17.15999984741211,0,0.0,0.0,17.15999984741211,18.209000015258788,,0.0232557769232431,False,False,False
2025-06-10,17.5,17.989999771118164,16.68000030517578,16.950000762939453,0,0.0,0.0,16.950000762939453,18.00800018310547,,-0.012237708994171426,False,False,False
2025-06-11,17.040000915527344,18.09000015258789,16.229999542236328,17.260000228881836,0,0.0,0.0,17.260000228881836,17.803000259399415,,0.01828905321468688,False,False,False
2025-06-12,17.8700008392334,18.8700008392334,17.43000030517578,18.020000457763672,0,0.0,0.0,18.020000457763672,17.687000274658203,,0.04403245763636199,False,False,False
2025-06-13,21.760000228881836,22.0,18.8799991607666,20.81999969482422,0,0.0,0.0,20.81999969482422,17.912000274658205,,0.15538286159444614,False,False,True
2025-06-16,19.780000686645508,20.219999313354492,18.670000076293945,19.110000610351562,0,0.0,0.0,19.110000610351562,17.987000274658204,19.35166670481364,-0.08213252207192667,False,False,False
2025-06-17,20.530000686645508,21.790000915527344,19.549999237060547,21.600000381469727,0,0.0,0.0,21.600000381469727,18.378000259399414,19.28366673787435,0.130298257016767,False,False,True
2025-06-18,20.899999618530273,21.579999923706055,19.59000015258789,20.139999389648438,0,0.0,0.0,20.139999389648438,18.631000137329103,19.1296667098999,-0.06759263731651588,False,False,False
2025-06-20,20.739999771118164,21.06999969482422,19.110000610351562,20.6200008392334,0,0.0,0.0,20.6200008392334,18.84500026702881,19.032000096639,0.023833240522920462,False,False,False
2025-06-23,21.149999618530273,22.510000228881836,19.81999969482422,19.829999923706055,0,0.0,0.0,19.829999923706055,19.151000213623046,18.94366677602132,-0.03831236097838653,False,False,False
2025-06-24,18.190000534057617,18.719999313354492,17.329999923706055,17.479999542236328,0,0.0,0.0,17.479999542236328,19.18300018310547,18.796333440144856,-0.11850733184624906,False,False,False
2025-06-25,17.280000686645508,17.510000228881836,16.68000030517578,16.760000228881836,0,0.0,0.0,16.760000228881836,19.16400012969971,18.74200013478597,-0.041189893147009715,False,False,False
2025-06-26,16.670000076293945,16.780000686645508,16.110000610351562,16.59000015258789,0,0.0,0.0,16.59000015258789,19.097000122070312,18.687666829427084,-0.010143202504316884,False,False,False
2025-06-27,16.309999465942383,17.290000915527344,16.1200008392334,16.31999969482422,0,0.0,0.0,16.31999969482422,18.927000045776367,18.611000124613444,-0.01627489181918751,False,False,False
2025-06-30,17.190000534057617,17.43000030517578,16.549999237060547,16.729999542236328,0,0.0,0.0,16.729999542236328,18.518000030517577,18.57433344523112,0.02512254013963844,False,False,False
2025-07-01,16.979999542236328,17.479999542236328,16.510000228881836,16.829999923706055,0,0.0,0.0,16.829999923706055,18.289999961853027,18.560666783650717,0.005977309277102272,False,False,False
2025-07-02,16.75,17.3700008392334,16.540000915527344,16.639999389648438,0,0.0,0.0,16.639999389648438,17.793999862670898,18.510666783650716,-0.011289396014196651,False,False,False
2025-07-03,16.649999618530273,16.829999923706055,16.139999389648438,16.3799991607666,0,0.0,0.0,16.3799991607666,17.417999839782716,18.453666750590006,-0.015625014328040088,False,False,False
2025-07-07,17.829999923706055,18.5,17.510000228881836,17.790000915527344,0,0.0,0.0,17.790000915527344,17.13499984741211,18.35100008646647,0.08608069761920256,False,False,False
2025-07-08,17.40999984741211,17.440000534057617,16.540000915527344,16.809999465942383,0,0.0,0.0,16.809999465942383,16.832999801635744,18.2353333791097,-0.055087206247954934,False,False,False
2025-07-09,16.760000228881836,16.760000228881836,15.760000228881836,15.9399995803833,0,0.0,0.0,15.9399995803833,16.678999805450438,18.023666667938233,-0.05175490262933857,False,False,False
2025-07-10,16.229999542236328,16.239999771118164,15.699999809265137,15.779999732971191,0,0.0,0.0,15.779999732971191,16.580999755859374,17.91766668955485,-0.010037631845926431,False,False,False
2025-07-11,16.40999984741211,17.239999771118164,15.979999542236328,16.399999618530273,0,0.0,0.0,16.399999618530273,16.561999702453612,17.820666694641112,0.03929023422374556,False,False,False
2025-07-14,17.729999542236328,17.850000381469727,16.90999984741211,17.200000762939453,0,0.0,0.0,17.200000762939453,16.649999809265136,17.7546667098999,0.048780558720578515,False,False,False
2025-07-15,16.889999389648438,17.389999389648438,16.559999465942383,17.3799991607666,0,0.0,0.0,17.3799991607666,16.714999771118165,17.715000025431316,0.010465022665288926,False,False,False
2025-07-16,17.65999984741211,19.479999542236328,16.690000534057617,17.15999984741211,0,0.0,0.0,17.15999984741211,16.74799976348877,17.675,-0.012658188951534366,False,False,False
2025-07-17,17.15999984741211,17.3700008392334,16.479999542236328,16.520000457763672,0,0.0,0.0,16.520000457763672,16.735999870300294,17.635999997456867,-0.03729600205940298,False,False,False
2025-07-18,16.43000030517578,16.809999465942383,16.280000686645508,16.40999984741211,0,0.0,0.0,16.40999984741211,16.738999938964845,17.595999972025552,-0.006658632403358511,False,False,False
2025-07-21,16.8700008392334,16.989999771118164,16.299999237060547,16.649999618530273,0,0.0,0.0,16.649999618530273,16.624999809265137,17.534999974568684,0.014625214707483014,False,False,False
2025-07-22,16.75,17.479999542236328,16.43000030517578,16.5,0,0.0,0.0,16.5,16.5939998626709,17.525999959309896,-0.00900898630432001,False,False,False
2025-07-23,16.229999542236328,16.31999969482422,15.319999694824219,15.369999885559082,0,0.0,0.0,15.369999885559082,16.536999893188476,17.466333293914794,-0.06848485542066174,False,False,False
2025-07-24,15.390000343322754,15.539999961853027,14.949999809265137,15.390000343322754,0,0.0,0.0,15.390000343322754,16.497999954223634,17.414333279927572,0.0013012659669868754,False,False,False
2025-07-25,15.329999923706055,15.390000343322754,14.920000076293945,14.930000305175781,0,0.0,0.0,14.930000305175781,16.351000022888183,17.336666615804038,-0.02988954047337322,True,False,False
2025-07-28,15.149999618530273,15.539999961853027,15.0,15.029999732971191,0,0.0,0.0,15.029999732971191,16.13399991989136,17.23699992497762,0.0066978851809362805,False,False,False
2025-07-29,14.949999809265137,16.1200008392334,14.699999809265137,15.979999542236328,0,0.0,0.0,15.979999542236328,15.99399995803833,17.075666586558025,0.0632069079270261,False,False,False
