Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Returns,LogReturns,RealizedVol,ParkinsonVol,GarmanKlassVol,SMA_20,SMA_50,RSI
2025-04-07,487.74808166979307,521.6279038372442,480.37984959166755,502.893310546875,256611400,0.0,0.0,0.0,,,,,,,,
2025-04-08,520.321766684984,523.432565399183,487.71817046987917,495.0166015625,165816600,0.0,0.0,0.0,-0.01566278337607918,-0.015786740816997092,,,,,,
2025-04-09,491.98558084417215,547.0029296875,491.5967157695939,547.0029296875,241867300,0.0,0.0,0.0,0.10501936290804648,0.0998628578098975,,,,,,
2025-04-10,530.6013458963056,531.9274425958545,507.8187234468108,523.0337524414062,162331200,0.0,0.0,0.0,-0.04381910213860685,-0.04480816012689667,,,,,,
2025-04-11,521.4683746979002,534.8488005902628,518.5370382681921,532.3661499023438,97866300,0.0,0.0,0.0,0.017842820692500094,0.017685506101808496,,,,,,
2025-04-14,542.4463448071801,542.6757082402244,532.2863784402284,537.5308837890625,68034000,0.0,0.0,0.0,0.009701469350871017,0.009654712262170089,,,,,,
2025-04-15,538.079255112781,541.6287592452915,535.2276998357879,536.0253295898438,56892900,0.0,0.0,0.0,-0.0028008701353233745,-0.002804799911658227,,,,,,
2025-04-16,530.1128095536914,536.3045268284891,518.7563681804631,524.1105346679688,83484800,0.0,0.0,0.0,-0.0222280445795201,-0.022478810553387896,,,,,,
2025-04-17,526.0847532599682,529.604316656272,522.3657063534529,524.8583374023438,79868100,0.0,0.0,0.0,0.0014268034792483952,0.0014257865623429928,,,,,,
2025-04-21,519.6238052831814,520.1622525299349,506.96125797993665,512.3652954101562,69368100,0.0,0.0,0.0,-0.023802693225792537,-0.0240905544202062,,,,,,
2025-04-22,518.6068942866489,527.7398682752878,517.6596822546041,525.6959228515625,75948100,0.0,0.0,0.0,0.02601781885077692,0.02568511389872013,,,,,,
2025-04-23,538.8370393033936,543.8223014706125,532.306358035387,533.841796875,90590700,0.0,0.0,0.0,0.015495410311062274,0.01537658239348734,,,,,,
2025-04-24,535.137968583152,545.8164223668259,533.8717533370633,545.07861328125,64150400,0.0,0.0,0.0,0.021048963329638015,0.020830494281085556,,,,,,
2025-04-25,545.0387382920208,549.4257324957449,542.0874411745963,549.0169677734375,61119600,0.0,0.0,0.0,0.007225296308140727,0.007199318909320481,,,,,,64.26720677736216
2025-04-28,549.7647656303432,551.9183721484593,543.4135463851055,549.226318359375,47613800,0.0,0.0,0.0,0.0003813189723198551,0.0003812462887170337,,,,,,64.313426171743
2025-04-29,547.2920086038646,553.8127702769649,546.9330843434874,552.6860961914062,47775100,0.0,0.0,0.0,0.006299366429427744,0.006279608352885647,,,,,,68.31537766984607
2025-04-30,545.9560300157574,554.8796618213433,539.9238747243568,552.9054565429688,93101500,0.0,0.0,0.0,0.00039689862486880223,0.0003968198814443398,,,,,,52.79296743006101
2025-05-01,558.7182765361568,562.4073827721945,556.2156651498251,556.8238525390625,63186100,0.0,0.0,0.0,0.007086918658016916,0.007061924468366035,,,,,,69.73331612899547
2025-05-02,563.0653709624233,566.7046364907385,560.7223222120272,565.0894165039062,60717300,0.0,0.0,0.0,0.014844126966101712,0.014735031209223506,,,,,,69.35141792057566
2025-05-05,560.9117673476358,564.9797581165675,560.0443366413908,561.8489990234375,38659200,0.0,0.0,0.0,-0.005734344664454216,-0.005750849143978881,,0.37970115016604433,0.3445737223257696,536.3708282470703,,64.7158243089515
2025-05-06,556.2854623092777,561.6894695117311,555.3183506499339,557.1528930664062,48264700,0.0,0.0,0.0,-0.008358306173355534,-0.008393432683426724,0.459133651958164,0.3375282401623288,0.28519885146472845,539.0838073730469,,62.30976362966514
2025-05-07,558.4989192920236,562.1580845152806,554.4009877287364,559.4959716796875,55588000,0.0,0.0,0.0,0.004205449962551011,0.004196631772184593,0.4523428459001055,0.303489837436626,0.2513431040806573,542.3077758789062,,73.20521841735972
2025-05-08,563.5739323580718,568.6289957190513,560.0443884974118,563.3944702148438,65130800,0.0,0.0,0.0,0.006967875967815118,0.006943712500491011,0.26370543875296304,0.20328941961230915,0.21787960290938915,543.1273529052735,,74.2685338081137
2025-05-09,564.8102205798259,565.8272334952061,561.1012148853195,562.6765747070312,37603400,0.0,0.0,0.0,-0.0012742324352930101,-0.0012750449597459374,0.20267743438988015,0.17852043220815686,0.1878721246567639,545.1094940185546,,87.20141386132894
2025-05-12,579.7560672258437,581.2815867067962,575.3391321114739,581.2716064453125,78993600,0.0,0.0,0.0,0.033047460253633476,0.03251313318049045,0.22289052348369562,0.16730165789026769,0.17879177476765434,547.5547668457032,,88.1258478905321
2025-05-13,581.6903470478828,587.343678293745,581.1220807001266,585.1102905273438,67947200,0.0,0.0,0.0,0.006603942183768696,0.00658223168840516,0.22220142997496556,0.16372883405403685,0.17482268773807713,549.9337371826172,,87.38005875908154
2025-05-14,586.0774155967079,587.2439499583633,583.8140869943453,585.8580932617188,66283500,0.0,0.0,0.0,0.0012780543198120942,0.0012772383035912702,0.22093032782817146,0.16223673518429713,0.17308733489750994,552.4253753662109,,85.10127464093918
2025-05-15,583.8340232035316,589.2280501171933,583.3753571741278,588.7196044921875,71268100,0.0,0.0,0.0,0.004884307758791007,0.004872418226688665,0.19701846507764212,0.14745852997039174,0.15462099383154432,555.6558288574219,,84.81986476475147
